post_id,user_id,post_type,followers,likes,shares,comments,engagement_rate,post_date,best_posting_time,sentiment,virality_index,ctr,hashtags_used,campaign_name,post_duration,engagement_category
61,fashionista,Reels,1244482,4001,693,640,42.87,2023-01-07,6PM,Neutral,0.13,1.28,foodie_beauty,Launch_Promo,36s,High
62,techguru,Static,893204,753,130,120,11.24,2023-01-07,6AM,Negative,0.13,2.74,travel_music,Art_Festival,N/A,Low
63,beauty_guru,Carousel,1103395,2031,352,324,24.54,2023-01-07,12PM,Negative,0.13,4.44,foodie_gamerlife,Art_Festival,N/A,Medium
64,foodlover,Static,877050,764,132,122,11.62,2023-01-07,6AM,Positive,0.13,4.71,tech_foodie,Launch_Promo,N/A,Low
65,travelbug,Reels,1325866,4565,791,730,45.91,2023-01-07,6AM,Negative,0.13,4.4,tech_fitness,Art_Festival,21s,High
66,gamer,Carousel,654865,1082,187,173,22.04,2023-01-07,6PM,Positive,0.13,1.51,foodie_fitness,Launch_Promo,N/A,Medium
67,lifestyle,Static,943950,927,160,148,13.1,2023-01-07,6PM,Positive,0.13,4.72,foodie_fitness,Fitness_Challenge,N/A,Low
68,musician,Reels,782863,2365,410,378,40.29,2023-01-07,12PM,Neutral,0.13,3.73,travel_beauty,Fitness_Challenge,38s,High
69,artist,Carousel,567685,881,152,141,20.71,2023-01-07,12PM,Positive,0.13,4.07,fitness_foodie,Winter_Sale,N/A,Medium
70,fitnessfan,Static,834778,819,141,131,13.09,2023-01-07,6PM,Positive,0.13,3.35,art_fashion,Art_Festival,N/A,Low
71,fashionista,Static,1244733,1060,183,169,11.36,2023-01-08,12PM,Neutral,0.13,4.4,fitness_beauty,Taste_Week,N/A,Low
72,techguru,Static,893352,907,157,145,13.56,2023-01-08,9PM,Neutral,0.13,2.49,travel_art,Fitness_Challenge,N/A,Low
73,beauty_guru,Carousel,1103687,1811,313,289,21.89,2023-01-08,6PM,Neutral,0.13,3.21,tech_gamerlife,Taste_Week,N/A,Medium
74,foodlover,Carousel,877151,1474,255,235,22.42,2023-01-08,6AM,Positive,0.13,2.29,fitness_travel,Taste_Week,N/A,Medium
75,travelbug,Static,1326235,1360,235,217,13.68,2023-01-08,6AM,Positive,0.13,2.85,beauty_art,Taste_Week,N/A,Low
76,gamer,Carousel,655017,1000,173,160,20.37,2023-01-08,6AM,Positive,0.13,2.28,beauty_foodie,Taste_Week,N/A,Medium
77,lifestyle,Reels,944105,2771,480,443,39.15,2023-01-08,9PM,Negative,0.13,2.65,fashion_fitness,Fitness_Challenge,43s,High
78,musician,Static,782974,728,126,116,12.41,2023-01-08,12PM,Neutral,0.13,3.38,beauty_music,Winter_Sale,N/A,Low
79,artist,Static,567844,516,89,82,12.15,2023-01-08,6PM,Neutral,0.13,4.04,beauty_travel,Winter_Sale,N/A,Low
80,fitnessfan,Carousel,834908,1383,239,221,22.09,2023-01-08,12PM,Negative,0.13,2.26,travel_beauty,Fitness_Challenge,N/A,Medium
81,fashionista,Reels,1244888,3873,671,619,41.48,2023-01-09,6PM,Neutral,0.13,1.51,music_fashion,Art_Festival,39s,High
82,techguru,Static,893462,803,139,128,11.99,2023-01-09,12PM,Neutral,0.13,2.14,fashion_fitness,Taste_Week,N/A,Low
83,beauty_guru,Reels,1104008,3814,661,610,46.08,2023-01-09,12PM,Positive,0.13,2.0,foodie_gamerlife,Winter_Sale,53s,High
84,foodlover,Carousel,877267,1640,284,262,24.94,2023-01-09,12PM,Positive,0.13,1.01,travel_fitness,Launch_Promo,N/A,Medium
85,travelbug,Reels,1326573,3948,684,631,39.68,2023-01-09,6AM,Neutral,0.13,3.05,travel_fashion,Art_Festival,47s,High
86,gamer,Reels,655168,2225,385,356,45.29,2023-01-09,9PM,Negative,0.13,3.56,fitness_tech,Taste_Week,24s,High
87,lifestyle,Reels,944336,2813,487,450,39.73,2023-01-09,9PM,Negative,0.13,1.81,music_art,Fitness_Challenge,57s,High
88,musician,Reels,783132,2368,410,378,40.33,2023-01-09,6PM,Negative,0.13,1.21,beauty_fitness,Winter_Sale,39s,High
89,artist,Static,567912,501,86,80,11.79,2023-01-09,6PM,Positive,0.13,3.58,gamerlife_fashion,Winter_Sale,N/A,Low
90,fitnessfan,Reels,835081,2592,449,414,41.4,2023-01-09,6PM,Negative,0.13,3.52,foodie_gamerlife,Winter_Sale,55s,High
91,fashionista,Reels,1245058,4021,697,643,43.07,2023-01-10,12PM,Positive,0.13,4.24,tech_gamerlife,Taste_Week,50s,High
92,techguru,Static,893600,808,140,129,12.07,2023-01-10,6PM,Positive,0.13,4.35,music_foodie,Art_Festival,N/A,Low
93,beauty_guru,Static,1104317,1102,191,176,13.31,2023-01-10,12PM,Neutral,0.13,3.16,travel_gamerlife,Winter_Sale,N/A,Low
94,foodlover,Carousel,877463,1317,228,210,20.03,2023-01-10,12PM,Neutral,0.13,2.78,travel_music,Art_Festival,N/A,Medium
95,travelbug,Reels,1326941,4671,809,747,46.94,2023-01-10,12PM,Negative,0.13,4.51,fashion_fitness,Art_Festival,55s,High
96,gamer,Carousel,655254,1182,205,189,24.07,2023-01-10,6PM,Negative,0.13,3.8,music_fashion,Launch_Promo,N/A,Medium
97,lifestyle,Static,944499,879,152,140,12.42,2023-01-10,6PM,Positive,0.13,3.65,travel_fitness,Fitness_Challenge,N/A,Low
98,musician,Reels,783346,2752,477,440,46.86,2023-01-10,9PM,Neutral,0.13,2.49,fitness_foodie,Taste_Week,43s,High
99,artist,Carousel,568076,816,141,130,19.18,2023-01-10,9PM,Neutral,0.13,2.13,music_foodie,Taste_Week,N/A,Low
100,fitnessfan,Static,835266,780,135,124,12.46,2023-01-10,12PM,Positive,0.13,2.05,gamerlife_art,Winter_Sale,N/A,Low
101,fashionista,Reels,1245405,4066,704,650,43.54,2023-01-11,6AM,Negative,0.13,1.13,art_fitness,Fitness_Challenge,44s,High
102,techguru,Reels,893789,2734,473,437,40.79,2023-01-11,9PM,Positive,0.13,2.33,gamerlife_tech,Winter_Sale,57s,High
103,beauty_guru,Reels,1104517,3196,554,511,38.59,2023-01-11,6AM,Negative,0.13,3.02,fitness_beauty,Fitness_Challenge,11s,High
104,foodlover,Reels,877667,3058,530,489,46.48,2023-01-11,6PM,Positive,0.13,3.4,gamerlife_beauty,Winter_Sale,54s,High
105,travelbug,Carousel,1327288,2274,394,363,22.85,2023-01-11,9PM,Neutral,0.13,3.8,fashion_music,Launch_Promo,N/A,Medium
106,gamer,Carousel,655431,1172,203,187,23.86,2023-01-11,6PM,Positive,0.13,1.99,beauty_music,Winter_Sale,N/A,Medium
107,lifestyle,Static,944737,785,136,125,11.09,2023-01-11,12PM,Positive,0.13,2.69,fitness_fashion,Winter_Sale,N/A,Low
108,musician,Carousel,783469,1391,241,222,23.69,2023-01-11,6PM,Negative,0.13,2.62,beauty_fitness,Fitness_Challenge,N/A,Medium
109,artist,Carousel,568211,836,144,133,19.63,2023-01-11,6AM,Positive,0.13,4.49,fitness_foodie,Fitness_Challenge,N/A,Low
110,fitnessfan,Carousel,835435,1433,248,229,22.88,2023-01-11,6PM,Negative,0.13,2.2,gamerlife_beauty,Launch_Promo,N/A,Medium
111,fashionista,Static,1245765,1067,184,170,11.43,2023-01-12,6AM,Negative,0.13,4.89,beauty_art,Taste_Week,N/A,Low
112,techguru,Static,893902,870,150,139,13.0,2023-01-12,6PM,Neutral,0.13,4.01,foodie_music,Fitness_Challenge,N/A,Low
113,beauty_guru,Static,1104675,935,162,149,11.3,2023-01-12,6PM,Positive,0.13,2.94,beauty_gamerlife,Taste_Week,N/A,Low
114,foodlover,Static,877842,905,156,144,13.76,2023-01-12,9PM,Positive,0.13,4.38,music_fashion,Fitness_Challenge,N/A,Low
115,travelbug,Reels,1327518,4241,735,678,42.6,2023-01-12,6PM,Positive,0.13,1.69,gamerlife_fitness,Fitness_Challenge,10s,High
116,gamer,Reels,655506,1878,325,300,38.21,2023-01-12,6AM,Positive,0.13,1.61,travel_music,Winter_Sale,32s,High
117,lifestyle,Reels,944899,2963,513,474,41.82,2023-01-12,12PM,Positive,0.13,3.77,music_foodie,Fitness_Challenge,17s,High
118,musician,Static,783599,763,132,122,12.99,2023-01-12,6AM,Neutral,0.13,2.01,beauty_art,Taste_Week,N/A,Low
119,artist,Static,568271,595,103,95,13.98,2023-01-12,9PM,Neutral,0.13,1.66,gamerlife_beauty,Winter_Sale,N/A,Low
120,fitnessfan,Static,835552,873,151,139,13.95,2023-01-12,9PM,Positive,0.13,4.39,fitness_travel,Fitness_Challenge,N/A,Low
121,fashionista,Static,1245944,1194,207,191,12.79,2023-01-13,6PM,Neutral,0.13,1.62,beauty_fashion,Winter_Sale,N/A,Low
122,techguru,Carousel,894080,1580,273,252,23.57,2023-01-13,6PM,Neutral,0.13,2.46,gamerlife_beauty,Launch_Promo,N/A,Medium
123,beauty_guru,Carousel,1104992,1608,278,257,19.41,2023-01-13,6AM,Positive,0.13,2.64,travel_foodie,Fitness_Challenge,N/A,Low
124,foodlover,Reels,877977,3132,542,501,47.56,2023-01-13,9PM,Neutral,0.13,1.6,gamerlife_fitness,Winter_Sale,12s,High
125,travelbug,Carousel,1327808,2261,391,361,22.71,2023-01-13,6AM,Positive,0.13,1.22,travel_art,Taste_Week,N/A,Medium
126,gamer,Static,655607,542,93,86,11.04,2023-01-13,9PM,Negative,0.13,3.15,fitness_gamerlife,Art_Festival,N/A,Low
127,lifestyle,Static,945076,893,154,142,12.61,2023-01-13,6PM,Negative,0.13,1.31,foodie_gamerlife,Fitness_Challenge,N/A,Low
128,musician,Carousel,783808,1308,226,209,22.26,2023-01-13,6PM,Neutral,0.13,2.79,fitness_music,Taste_Week,N/A,Medium
129,artist,Carousel,568374,1020,176,163,23.96,2023-01-13,9PM,Positive,0.13,3.31,tech_travel,Fitness_Challenge,N/A,Medium
130,fitnessfan,Carousel,835669,1423,246,227,22.72,2023-01-13,12PM,Neutral,0.13,2.21,foodie_fitness,Taste_Week,N/A,Medium
131,fashionista,Static,1246076,1245,215,199,13.33,2023-01-14,12PM,Positive,0.13,1.28,tech_beauty,Taste_Week,N/A,Low
132,techguru,Reels,894260,3240,561,518,48.32,2023-01-14,12PM,Neutral,0.13,1.81,music_gamerlife,Winter_Sale,5s,High
133,beauty_guru,Reels,1105273,3331,577,533,40.19,2023-01-14,12PM,Positive,0.13,3.26,beauty_tech,Art_Festival,49s,High
134,foodlover,Static,878136,813,140,130,12.36,2023-01-14,9PM,Positive,0.13,2.16,fashion_beauty,Winter_Sale,N/A,Low
135,travelbug,Carousel,1328149,2055,356,328,20.63,2023-01-14,6AM,Positive,0.13,3.67,fashion_tech,Launch_Promo,N/A,Medium
136,gamer,Carousel,655801,987,171,157,20.07,2023-01-14,6PM,Negative,0.13,4.71,art_gamerlife,Launch_Promo,N/A,Medium
137,lifestyle,Reels,945283,3041,527,486,42.9,2023-01-14,12PM,Neutral,0.13,2.27,gamerlife_music,Launch_Promo,29s,High
138,musician,Reels,783987,2823,489,451,48.03,2023-01-14,6AM,Neutral,0.13,4.7,gamerlife_beauty,Winter_Sale,32s,High
139,artist,Static,568538,498,86,79,11.69,2023-01-14,6PM,Negative,0.13,3.79,travel_foodie,Launch_Promo,N/A,Low
140,fitnessfan,Carousel,835803,1455,252,232,23.22,2023-01-14,6AM,Positive,0.13,3.97,beauty_fashion,Launch_Promo,N/A,Medium
141,fashionista,Static,1246394,1251,216,200,13.39,2023-01-15,6PM,Positive,0.13,1.64,music_art,Fitness_Challenge,N/A,Low
142,techguru,Static,894385,843,146,135,12.58,2023-01-15,6AM,Negative,0.13,3.63,foodie_beauty,Fitness_Challenge,N/A,Low
143,beauty_guru,Static,1105534,1032,179,165,12.46,2023-01-15,9PM,Positive,0.13,3.53,fitness_travel,Taste_Week,N/A,Low
144,foodlover,Carousel,878388,1323,229,211,20.09,2023-01-15,6PM,Neutral,0.13,1.59,beauty_music,Launch_Promo,N/A,Medium
145,travelbug,Static,1328407,1100,190,176,11.05,2023-01-15,9PM,Positive,0.13,1.81,fashion_travel,Taste_Week,N/A,Low
146,gamer,Reels,655868,2262,392,361,45.99,2023-01-15,6AM,Positive,0.13,2.75,art_travel,Launch_Promo,53s,High
147,lifestyle,Reels,945483,3067,531,490,43.26,2023-01-15,6AM,Negative,0.13,1.38,fashion_travel,Fitness_Challenge,11s,High
148,musician,Reels,784173,2620,454,419,44.57,2023-01-15,12PM,Neutral,0.13,2.2,fashion_foodie,Launch_Promo,44s,High
149,artist,Static,568644,474,82,75,11.13,2023-01-15,9PM,Positive,0.13,3.12,gamerlife_beauty,Winter_Sale,N/A,Low
150,fitnessfan,Reels,835912,2610,452,417,41.63,2023-01-15,9PM,Neutral,0.13,2.94,gamerlife_fashion,Launch_Promo,40s,High
151,fashionista,Static,1246552,1163,201,186,12.45,2023-01-16,6AM,Negative,0.13,1.52,beauty_travel,Launch_Promo,N/A,Low
152,techguru,Reels,894597,2778,481,444,41.4,2023-01-16,9PM,Negative,0.13,3.17,foodie_gamerlife,Art_Festival,45s,High
153,beauty_guru,Static,1105850,1065,184,170,12.85,2023-01-16,6AM,Positive,0.13,1.73,fashion_gamerlife,Fitness_Challenge,N/A,Low
154,foodlover,Reels,878560,3060,530,489,46.46,2023-01-16,9PM,Negative,0.13,3.51,music_travel,Fitness_Challenge,12s,High
155,travelbug,Reels,1328768,3864,669,618,38.79,2023-01-16,6AM,Negative,0.13,4.08,fashion_travel,Winter_Sale,50s,High
156,gamer,Carousel,655985,1062,184,169,21.6,2023-01-16,12PM,Positive,0.13,1.02,fitness_music,Launch_Promo,N/A,Medium
157,lifestyle,Static,945746,792,137,126,11.17,2023-01-16,12PM,Negative,0.13,3.32,fashion_beauty,Fitness_Challenge,N/A,Low
158,musician,Reels,784376,2553,442,408,43.42,2023-01-16,6AM,Neutral,0.13,1.56,beauty_music,Art_Festival,7s,High
159,artist,Static,568767,519,90,83,12.2,2023-01-16,6AM,Negative,0.13,2.45,foodie_tech,Art_Festival,N/A,Low
160,fitnessfan,Carousel,836100,1506,261,240,24.03,2023-01-16,6PM,Negative,0.13,4.28,beauty_art,Taste_Week,N/A,Medium
161,fashionista,Reels,1246831,4307,746,689,46.06,2023-01-17,9PM,Neutral,0.13,4.16,music_travel,Winter_Sale,16s,High
162,techguru,Carousel,894860,1522,263,243,22.69,2023-01-17,12PM,Neutral,0.13,2.76,tech_art,Art_Festival,N/A,Medium
163,beauty_guru,Carousel,1105982,1740,301,278,20.98,2023-01-17,12PM,Neutral,0.13,2.15,travel_tech,Art_Festival,N/A,Medium
164,foodlover,Static,878677,860,149,137,13.06,2023-01-17,6AM,Positive,0.13,1.64,beauty_art,Winter_Sale,N/A,Low
165,travelbug,Static,1329040,1294,224,207,12.99,2023-01-17,6AM,Positive,0.13,3.11,beauty_art,Taste_Week,N/A,Low
166,gamer,Static,656068,549,95,87,11.18,2023-01-17,12PM,Positive,0.13,3.11,gamerlife_tech,Winter_Sale,N/A,Low
167,lifestyle,Carousel,945879,1665,288,266,23.48,2023-01-17,6AM,Negative,0.13,2.5,art_gamerlife,Fitness_Challenge,N/A,Medium
168,musician,Reels,784469,2520,436,403,42.84,2023-01-17,6PM,Positive,0.13,4.24,travel_fitness,Taste_Week,15s,High
169,artist,Static,568924,596,103,95,13.99,2023-01-17,12PM,Positive,0.13,3.73,foodie_tech,Winter_Sale,N/A,Low
170,fitnessfan,Reels,836343,2556,443,409,40.77,2023-01-17,6AM,Neutral,0.13,2.67,tech_beauty,Fitness_Challenge,10s,High
171,fashionista,Reels,1247147,4554,789,728,48.7,2023-01-18,12PM,Neutral,0.13,2.97,beauty_travel,Art_Festival,34s,High
172,techguru,Static,895065,885,153,141,13.19,2023-01-18,9PM,Positive,0.13,4.35,beauty_fashion,Fitness_Challenge,N/A,Low
173,beauty_guru,Carousel,1106111,2064,357,330,24.88,2023-01-18,12PM,Neutral,0.13,3.04,beauty_art,Winter_Sale,N/A,Medium
174,foodlover,Carousel,878908,1575,273,252,23.89,2023-01-18,12PM,Neutral,0.13,3.0,music_travel,Fitness_Challenge,N/A,Medium
175,travelbug,Reels,1329394,4286,742,685,43.0,2023-01-18,12PM,Negative,0.13,4.76,art_music,Art_Festival,30s,High
176,gamer,Reels,656240,2043,354,326,41.52,2023-01-18,6PM,Positive,0.13,3.13,music_travel,Fitness_Challenge,15s,High
177,lifestyle,Carousel,945982,1532,265,245,21.6,2023-01-18,6PM,Positive,0.13,3.66,gamerlife_art,Winter_Sale,N/A,Medium
178,musician,Static,784620,795,137,127,13.53,2023-01-18,6PM,Positive,0.13,3.48,beauty_foodie,Launch_Promo,N/A,Low
179,artist,Reels,569067,1663,288,266,38.98,2023-01-18,6AM,Negative,0.13,2.92,foodie_travel,Launch_Promo,47s,High
180,fitnessfan,Static,836477,828,143,132,13.22,2023-01-18,6AM,Neutral,0.13,4.83,beauty_gamerlife,Winter_Sale,N/A,Low
181,fashionista,Reels,1247349,3969,688,635,42.44,2023-01-19,12PM,Negative,0.13,2.7,beauty_gamerlife,Launch_Promo,43s,High
182,techguru,Static,895189,922,159,147,13.75,2023-01-19,9PM,Positive,0.13,3.44,foodie_gamerlife,Taste_Week,N/A,Low
183,beauty_guru,Carousel,1106224,1690,293,270,20.38,2023-01-19,6PM,Neutral,0.13,2.19,beauty_music,Winter_Sale,N/A,Medium
184,foodlover,Static,879026,759,131,121,11.52,2023-01-19,9PM,Neutral,0.13,3.84,travel_foodie,Taste_Week,N/A,Low
185,travelbug,Carousel,1329660,2106,365,337,21.13,2023-01-19,6AM,Neutral,0.13,2.72,tech_art,Fitness_Challenge,N/A,Medium
186,gamer,Reels,656372,2011,348,321,40.87,2023-01-19,6AM,Positive,0.13,3.81,fashion_fitness,Taste_Week,47s,High
187,lifestyle,Static,946232,862,149,138,12.16,2023-01-19,6AM,Neutral,0.13,3.26,gamerlife_art,Taste_Week,N/A,Low
188,musician,Carousel,784771,1338,231,214,22.75,2023-01-19,12PM,Neutral,0.13,2.66,music_fitness,Taste_Week,N/A,Medium
189,artist,Reels,569159,1764,305,282,41.34,2023-01-19,6AM,Positive,0.13,3.56,beauty_tech,Launch_Promo,42s,High
190,fitnessfan,Carousel,836571,1432,248,229,22.83,2023-01-19,6AM,Negative,0.13,3.18,foodie_music,Taste_Week,N/A,Medium
191,fashionista,Reels,1247571,4071,705,651,43.52,2023-01-20,12PM,Positive,0.13,1.88,music_art,Taste_Week,29s,High
192,techguru,Static,895439,747,129,119,11.13,2023-01-20,9PM,Negative,0.13,1.75,beauty_foodie,Art_Festival,N/A,Low
193,beauty_guru,Reels,1106544,3643,631,582,43.91,2023-01-20,6AM,Positive,0.13,2.3,travel_gamerlife,Winter_Sale,43s,High
194,foodlover,Static,879229,766,132,122,11.64,2023-01-20,6PM,Neutral,0.13,2.68,foodie_music,Art_Festival,N/A,Low
195,travelbug,Static,1329895,1188,205,190,11.91,2023-01-20,6PM,Positive,0.13,4.81,travel_fashion,Art_Festival,N/A,Low
196,gamer,Carousel,656509,936,162,149,19.02,2023-01-20,9PM,Negative,0.13,3.43,music_fitness,Art_Festival,N/A,Low
197,lifestyle,Static,946343,872,151,139,12.29,2023-01-20,12PM,Negative,0.13,4.53,music_art,Launch_Promo,N/A,Low
